   en BPP.Events.ItemEvent.BPP_UI.CuentasDestinoItemEvent.itemAction(String FormUID, ItemEvent& pVal, Boolean& BubbleEvent) en D:\SMB\Sistemas\Desarrollo\LOCALIZACION\ADDON\BPP\BPP\Events\ItemEvent\BPP_UI\CuentasDestinoItemEvent.cs:línea 145
DEBUG 2022-08-10 00:14:49,079 504263ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:14:50,847 506031ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:15:53,615  1931ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:16:00,141  8456ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:16:00,249  8565ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:16:15,468  2050ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:16:30,612 17194ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:16:30,733 17315ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:17:05,468  1871ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:17:10,172  6575ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:17:10,281  6684ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:17:30,582  1880ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:17:52,133 23430ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
DEBUG 2022-08-10 00:17:52,238 23536ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:18:12,375  1712ms SAPInit                ConnectToCompany               - Inicio Add-On BPP
DEBUG 2022-08-10 00:18:13,636  2972ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS ''  
DEBUG 2022-08-10 00:18:13,679  3015ms uentasDestinoItemEvent cargarAsientos                 - Se cargo satisfactoriamente los asientos.
DEBUG 2022-08-10 00:18:15,771  5107ms uentasDestinoItemEvent cargarAsientos                 - Query : EXEC SP_BPP_CONSULTAR_DESTINOS '104                 '  
